po_id,po_date,supplier_id,part_id,warehouse,quantity_ordered,quantity_received,unit_cost,expected_delivery_date,actual_delivery_date,order_status,quantity_shortage,delivery_delay_days,order_value
PO00019,2025-01-09,S013,P021,Hosur,873,873,22000.0,2025-01-29,2025-02-09,Late,0,11,19206000.0
PO00020,2026-06-04,S021,P036,Hosur,199,135,7000.0,2026-06-28,2026-06-28,Partial,64,0,1393000.0
PO00021,2026-01-10,S006,P012,Chennai,1131,896,15000.0,2026-02-01,2026-02-04,Late + Partial,235,3,16965000.0
PO00022,2025-01-12,S010,P020,Coimbatore,1256,1256,2100.0,2025-02-05,2025-02-07,Delivered,0,2,2637600.0
PO00023,2026-03-08,S002,P007,Coimbatore,904,904,3500.0,2026-03-26,2026-04-09,Late,0,14,3164000.0
PO00024,2025-03-25,S025,P045,Chennai,505,505,10000.0,2025-04-06,2025-04-04,Delivered,0,-2,5050000.0
PO00025,2025-10-14,S024,P039,Hosur,1110,1110,2100.0,2025-11-06,2025-11-05,Delivered,0,-1,2331000.0
PO00026,2025-08-20,S001,P010,Hosur,888,652,4200.0,2025-09-04,2025-09-04,Partial,236,0,3729600.0
PO00027,2025-04-23,S016,P027,Coimbatore,987,815,4000.0,2025-05-14,2025-05-26,Late + Partial,172,12,3948000.0
PO00028,2025-01-20,S005,P014,Chennai,635,635,18000.0,2025-02-09,2025-02-08,Delivered,0,-1,11430000.0
PO00029,2025-09-18,S025,P045,Hosur,455,455,10000.0,2025-09-30,2025-10-01,Delivered,0,1,4550000.0
PO00030,2026-07-31,S014,P029,Hosur,941,941,250.0,2026-08-14,2026-08-13,Delivered,0,-1,235250.0
PO00031,2026-01-01,S019,P032,Hosur,1881,1657,5000.0,2026-01-17,2026-01-16,Partial,224,-1,9405000.0
PO00032,2026-01-28,S026,P044,Coimbatore,1990,1990,15500.0,2026-02-16,2026-02-15,Delivered,0,-1,30845000.0
PO00033,2026-07-04,S002,P005,Chengalpattu,1911,1911,16500.0,2026-07-23,2026-07-28,Late,0,5,31531500.0
PO00034,2025-11-20,S025,P041,Coimbatore,1089,794,55000.0,2025-12-02,2025-12-04,Partial,295,2,59895000.0
PO00035,2026-07-30,S024,P040,Chengalpattu,424,424,4000.0,2026-08-22,2026-08-23,Delivered,0,1,1696000.0
PO00036,2026-01-30,S002,P008,Chengalpattu,1610,1610,1950.0,2026-02-18,2026-02-16,Delivered,0,-2,3139500.0
PO00037,2026-01-19,S001,P006,Coimbatore,1383,1383,8500.0,2026-02-03,2026-02-03,Delivered,0,0,11755500.0
PO00038,2025-06-06,S025,P045,Coimbatore,767,767,10000.0,2025-06-18,2025-06-16,Delivered,0,-2,7670000.0
PO00039,2025-08-23,S026,P044,Hosur,326,326,15500.0,2025-09-11,2025-09-14,Late,0,3,5053000.0
PO00040,2026-06-24,S009,P016,Hosur,377,377,30000.0,2026-07-15,2026-07-15,Delivered,0,0,11310000.0
PO00041,2026-05-10,S025,P043,Chennai,1729,1729,8500.0,2026-05-22,2026-05-31,Late,0,9,14696500.0
PO00042,2025-03-25,S016,P028,Chennai,1522,1522,8000.0,2025-04-16,2025-04-18,Delivered,0,2,12176000.0
PO00043,2025-03-29,S012,P022,Coimbatore,1317,1317,5000.0,2025-04-14,2025-04-23,Late,0,9,6585000.0
PO00044,2025-04-28,S005,P011,Chengalpattu,987,987,42000.0,2025-05-18,2025-05-22,Late,0,4,41454000.0
PO00045,2026-07-14,S015,P025,Hosur,1016,1016,13500.0,2026-08-01,2026-08-02,Delivered,0,1,13716000.0
PO00046,2026-07-22,S024,P039,Hosur,1310,1310,2100.0,2026-08-14,2026-08-16,Delivered,0,2,2751000.0
PO00047,2025-08-23,S005,P013,Chengalpattu,515,372,28000.0,2025-09-12,2025-09-12,Partial,143,0,14420000.0
PO00048,2025-10-19,S007,P011,Chennai,1458,1458,48000.0,2025-11-16,2025-11-14,Delivered,0,-2,69984000.0
PO00049,2025-08-10,S001,P003,Chengalpattu,160,160,3200.0,2025-08-25,2025-08-27,Delivered,0,2,512000.0
PO00050,2026-01-18,S017,P030,Chennai,118,118,7500.0,2026-01-28,2026-01-27,Delivered,0,-1,885000.0
PO00051,2026-06-03,S012,P023,Chengalpattu,1075,922,3800.0,2026-06-19,2026-06-20,Partial,153,1,4085000.0
PO00052,2025-03-30,S020,P037,Chengalpattu,787,787,12000.0,2025-04-19,2025-04-20,Delivered,0,1,9444000.0
PO00053,2025-04-19,S015,P025,Hosur,1402,1402,13500.0,2025-05-07,2025-05-07,Delivered,0,0,18927000.0
PO00054,2026-01-06,S009,P018,Chennai,1367,1367,17500.0,2026-01-28,2026-02-09,Late,0,12,23922500.0
PO00055,2025-04-01,S001,P004,Hosur,629,629,18000.0,2025-04-18,2025-04-18,Delivered,0,0,11322000.0
PO00056,2025-01-26,S001,P004,Hosur,1938,1938,18000.0,2025-02-12,2025-02-13,Delivered,0,1,34884000.0
PO00057,2026-08-31,S001,P001,Hosur,556,556,85000.0,2026-09-15,2026-09-16,Delivered,0,1,47260000.0
PO00058,2026-07-09,S007,P014,Chengalpattu,116,116,20000.0,2026-08-03,2026-08-01,Delivered,0,-2,2320000.0
PO00059,2025-05-18,S008,P020,Chennai,229,229,1800.0,2025-06-04,2025-06-14,Late,0,10,412200.0
PO00060,2025-05-08,S007,P011,Chennai,413,413,48000.0,2025-06-05,2025-06-06,Delivered,0,1,19824000.0
PO00061,2025-01-29,S021,P036,Chengalpattu,1235,1235,7000.0,2025-02-22,2025-02-22,Delivered,0,0,8645000.0
PO00062,2026-06-25,S006,P011,Hosur,1590,1590,45000.0,2026-07-19,2026-07-19,Delivered,0,0,71550000.0
PO00063,2026-02-09,S001,P008,Chennai,943,752,1800.0,2026-02-24,2026-02-23,Partial,191,-1,1697400.0
PO00064,2025-04-23,S005,P011,Chengalpattu,1551,1551,42000.0,2025-05-13,2025-05-13,Delivered,0,0,65142000.0
PO00065,2025-10-16,S006,P011,Chennai,1014,1014,45000.0,2025-11-09,2025-11-10,Delivered,0,1,45630000.0
PO00066,2025-05-06,S007,P014,Chennai,590,590,20000.0,2025-05-31,2025-05-30,Delivered,0,-1,11800000.0
PO00067,2025-07-11,S020,P036,Chengalpattu,424,424,6000.0,2025-07-31,2025-07-31,Delivered,0,0,2544000.0
PO00068,2026-03-08,S025,P043,Hosur,1512,1185,8500.0,2026-03-20,2026-03-25,Late + Partial,327,5,12852000.0
PO00069,2025-09-08,S012,P022,Chennai,977,665,5000.0,2025-09-24,2025-09-23,Partial,312,-1,4885000.0
PO00070,2026-07-23,S002,P008,Chennai,1605,987,1950.0,2026-08-11,2026-08-14,Partial,618,3,3129750.0
PO00071,2025-01-10,S005,P012,Chengalpattu,682,540,14000.0,2025-01-28,2025-01-30,Partial,142,2,9548000.0
PO00072,2026-04-25,S013,P024,Hosur,1816,1816,1100.0,2026-05-14,2026-05-12,Delivered,0,-2,1997600.0
PO00073,2025-05-14,S001,P003,Chengalpattu,1315,1315,3200.0,2025-05-29,2025-05-28,Delivered,0,-1,4208000.0
PO00074,2026-03-14,S016,P028,Chengalpattu,1877,1877,8000.0,2026-04-05,2026-04-07,Delivered,0,2,15016000.0
PO00075,2025-11-06,S001,P008,Chennai,1843,1843,1800.0,2025-11-21,2025-11-20,Delivered,0,-1,3317400.0
PO00076,2025-03-16,S013,P024,Chennai,1165,1165,1100.0,2025-04-04,2025-04-06,Delivered,0,2,1281500.0
PO00077,2026-08-11,S013,P024,Coimbatore,1434,1434,1100.0,2026-08-30,2026-08-31,Delivered,0,1,1577400.0
PO00078,2025-11-19,S005,P013,Coimbatore,1276,1276,28000.0,2025-12-09,2025-12-11,Delivered,0,2,35728000.0
PO00079,2025-03-23,S026,P043,Coimbatore,527,527,9500.0,2025-04-10,2025-04-09,Delivered,0,-1,5006500.0
PO00080,2025-06-01,S026,P045,Chennai,1054,1054,11500.0,2025-06-19,2025-06-20,Delivered,0,1,12121000.0
PO00081,2026-04-24,S011,P022,Coimbatore,931,931,4500.0,2026-05-06,2026-05-05,Delivered,0,-1,4189500.0
PO00082,2026-01-22,S019,P032,Chennai,1069,1069,5000.0,2026-02-07,2026-02-19,Late,0,12,5345000.0
PO00083,2025-03-08,S024,P040,Hosur,105,105,4000.0,2025-03-31,2025-04-02,Delivered,0,2,420000.0
PO00084,2026-03-10,S023,P039,Hosur,1587,1587,1800.0,2026-03-28,2026-04-05,Late,0,8,2856600.0
PO00085,2026-08-02,S008,P016,Coimbatore,641,641,28000.0,2026-08-20,2026-08-22,Delivered,0,2,17948000.0
PO00086,2025-10-09,S002,P008,Chengalpattu,232,232,1950.0,2025-10-28,2025-10-30,Delivered,0,2,452400.0
PO00087,2025-07-11,S016,P027,Chengalpattu,1795,1795,4000.0,2025-08-01,2025-07-31,Delivered,0,-1,7180000.0
PO00088,2026-04-13,S004,P002,Chengalpattu,1538,1538,4500.0,2026-05-05,2026-05-03,Delivered,0,-2,6921000.0
PO00089,2025-10-10,S009,P019,Chengalpattu,503,503,3500.0,2025-10-31,2025-11-11,Late,0,11,1760500.0
PO00090,2025-03-19,S001,P007,Chennai,1051,1051,3200.0,2025-04-03,2025-04-01,Delivered,0,-2,3363200.0
PO00091,2025-10-13,S012,P023,Chennai,427,427,3800.0,2025-10-29,2025-10-28,Delivered,0,-1,1622600.0
PO00092,2025-05-17,S019,P030,Coimbatore,475,475,8000.0,2025-06-01,2025-06-05,Late,0,4,3800000.0
PO00093,2026-04-02,S014,P028,Chengalpattu,332,277,7000.0,2026-04-17,2026-04-20,Partial,55,3,2324000.0
PO00094,2026-01-27,S008,P016,Chengalpattu,1980,1980,28000.0,2026-02-14,2026-02-13,Delivered,0,-1,55440000.0
PO00095,2026-06-20,S012,P021,Chennai,410,410,20000.0,2026-07-06,2026-07-05,Delivered,0,-1,8200000.0
PO00096,2025-01-06,S023,P039,Coimbatore,599,599,1800.0,2025-01-24,2025-01-26,Delivered,0,2,1078200.0
PO00097,2025-05-08,S001,P005,Hosur,1410,1410,15000.0,2025-05-24,2025-05-22,Delivered,0,-2,21150000.0
PO00098,2026-01-11,S001,P005,Chennai,842,842,15000.0,2026-01-27,2026-01-27,Delivered,0,0,12630000.0
PO00099,2026-03-22,S012,P021,Chengalpattu,1331,1331,20000.0,2026-04-07,2026-04-07,Delivered,0,0,26620000.0
PO00100,2025-11-21,S001,P010,Coimbatore,1237,1237,4200.0,2025-12-06,2025-12-06,Delivered,0,0,5195400.0
PO00101,2025-05-16,S018,P030,Coimbatore,322,322,9000.0,2025-06-02,2025-06-16,Late,0,14,2898000.0
PO00102,2026-08-29,S023,P040,Chengalpattu,1860,1165,3500.0,2026-09-16,2026-09-18,Partial,695,2,6510000.0
PO00103,2025-12-31,S015,P029,Chengalpattu,463,439,280.0,2026-01-18,2026-01-18,Partial,24,0,129640.0
PO00104,2026-03-07,S003,P002,Chennai,1417,1417,4200.0,2026-04-01,2026-04-02,Delivered,0,1,5951400.0
PO00105,2025-03-14,S024,P040,Hosur,1758,1758,4000.0,2025-04-06,2025-04-19,Late,0,13,7032000.0
PO00106,2025-05-04,S026,P041,Chengalpattu,1133,1133,58000.0,2025-05-22,2025-05-23,Delivered,0,1,65714000.0
PO00107,2025-05-25,S002,P010,Chennai,1489,1489,4500.0,2025-06-13,2025-06-11,Delivered,0,-2,6700500.0
PO00108,2026-04-17,S011,P024,Coimbatore,294,294,900.0,2026-04-29,2026-05-01,Delivered,0,2,264600.0
PO00109,2026-01-22,S002,P007,Chennai,1594,1594,3500.0,2026-02-09,2026-02-10,Delivered,0,1,5579000.0
PO00110,2026-05-18,S026,P045,Hosur,1371,1371,11500.0,2026-06-05,2026-06-04,Delivered,0,-1,15766500.0
PO00111,2025-09-30,S022,P037,Chengalpattu,1039,1039,13500.0,2025-10-27,2025-11-06,Late,0,10,14026500.0
PO00112,2025-05-03,S007,P011,Chennai,441,441,48000.0,2025-05-31,2025-05-31,Delivered,0,0,21168000.0
PO00113,2025-11-02,S001,P009,Chengalpattu,1247,678,6500.0,2025-11-18,2025-11-28,Late + Partial,569,10,8105500.0
PO00114,2025-09-10,S002,P010,Chennai,632,632,4500.0,2025-09-29,2025-09-29,Delivered,0,0,2844000.0
PO00115,2025-08-20,S007,P014,Hosur,1996,1400,20000.0,2025-09-14,2025-09-14,Partial,596,0,39920000.0
PO00116,2025-02-05,S002,P001,Chengalpattu,1190,975,88000.0,2025-02-23,2025-02-24,Partial,215,1,104720000.0
PO00117,2025-09-21,S002,P010,Chengalpattu,896,896,4500.0,2025-10-10,2025-10-12,Delivered,0,2,4032000.0
PO00118,2025-06-29,S014,P027,Chengalpattu,615,538,3500.0,2025-07-13,2025-07-26,Late + Partial,77,13,2152500.0
PO00119,2026-03-22,S011,P023,Chennai,1832,1832,3500.0,2026-04-03,2026-04-11,Late,0,8,6412000.0
PO00120,2025-06-14,S012,P021,Hosur,1648,1648,20000.0,2025-06-30,2025-06-29,Delivered,0,-1,32960000.0
PO00121,2025-01-29,S024,P038,Coimbatore,813,698,10500.0,2025-02-21,2025-02-23,Partial,115,2,8536500.0
PO00122,2026-04-09,S008,P018,Coimbatore,346,346,16000.0,2026-04-27,2026-04-25,Delivered,0,-2,5536000.0
PO00123,2026-05-15,S003,P002,Hosur,1769,1769,4200.0,2026-06-09,2026-06-11,Delivered,0,2,7429800.0
PO00124,2025-10-30,S002,P006,Chengalpattu,640,640,9000.0,2025-11-17,2025-11-19,Delivered,0,2,5760000.0
PO00125,2026-07-04,S023,P040,Chengalpattu,1075,688,3500.0,2026-07-22,2026-07-24,Partial,387,2,3762500.0
PO00126,2025-05-27,S018,P030,Chennai,561,450,9000.0,2025-06-13,2025-06-27,Late + Partial,111,14,5049000.0
PO00127,2025-04-11,S001,P005,Hosur,650,650,15000.0,2025-04-27,2025-04-28,Delivered,0,1,9750000.0
PO00128,2025-08-23,S006,P011,Chennai,761,761,45000.0,2025-09-16,2025-09-18,Delivered,0,2,34245000.0
PO00129,2025-02-14,S019,P031,Chennai,928,928,9500.0,2025-03-01,2025-02-27,Delivered,0,-2,8816000.0
PO00130,2026-06-28,S013,P021,Chengalpattu,330,330,22000.0,2026-07-18,2026-07-16,Delivered,0,-2,7260000.0
PO00131,2026-02-13,S016,P028,Chennai,700,700,8000.0,2026-03-07,2026-03-14,Late,0,7,5600000.0
PO00132,2025-11-13,S011,P023,Chengalpattu,1655,1655,3500.0,2025-11-25,2025-11-24,Delivered,0,-1,5792500.0
PO00133,2025-05-30,S009,P018,Chengalpattu,551,551,17500.0,2025-06-21,2025-06-29,Late,0,8,9642500.0
PO00134,2025-02-09,S006,P012,Coimbatore,1396,1174,15000.0,2025-03-03,2025-03-15,Late + Partial,222,12,20940000.0
PO00135,2025-12-28,S002,P001,Coimbatore,1382,1382,88000.0,2026-01-15,2026-01-16,Delivered,0,1,121616000.0
PO00136,2026-02-21,S013,P021,Chengalpattu,1282,1282,22000.0,2026-03-13,2026-03-13,Delivered,0,0,28204000.0
PO00137,2026-06-20,S001,P007,Coimbatore,863,863,3200.0,2026-07-05,2026-07-04,Delivered,0,-1,2761600.0
PO00138,2025-10-31,S024,P040,Coimbatore,863,863,4000.0,2025-11-23,2025-11-22,Delivered,0,-1,3452000.0
PO00139,2026-08-17,S009,P017,Chennai,665,665,8200.0,2026-09-07,2026-09-08,Delivered,0,1,5453000.0
PO00140,2026-06-07,S020,P036,Chengalpattu,1178,1178,6000.0,2026-06-27,2026-06-28,Delivered,0,1,7068000.0
PO00141,2025-07-21,S009,P018,Chennai,1061,1061,17500.0,2025-08-12,2025-08-11,Delivered,0,-1,18567500.0
PO00142,2025-06-27,S002,P006,Chengalpattu,968,968,9000.0,2025-07-15,2025-07-15,Delivered,0,0,8712000.0
PO00143,2025-07-28,S016,P027,Chennai,527,527,4000.0,2025-08-18,2025-08-19,Delivered,0,1,2108000.0
PO00144,2025-03-12,S024,P038,Hosur,1068,848,10500.0,2025-04-04,2025-04-11,Late + Partial,220,7,11214000.0
PO00145,2025-09-10,S001,P004,Chengalpattu,540,540,18000.0,2025-09-27,2025-09-27,Delivered,0,0,9720000.0
PO00146,2025-01-14,S011,P022,Chennai,1019,1019,4500.0,2025-01-26,2025-02-06,Late,0,11,4585500.0
PO00147,2025-07-02,S012,P022,Coimbatore,1944,1944,5000.0,2025-07-18,2025-07-31,Late,0,13,9720000.0
PO00148,2026-01-17,S013,P024,Coimbatore,1307,1096,1100.0,2026-02-05,2026-02-04,Partial,211,-1,1437700.0
PO00149,2026-01-03,S009,P018,Chengalpattu,164,164,17500.0,2026-01-25,2026-01-26,Delivered,0,1,2870000.0
PO00150,2025-12-22,S023,P040,Chennai,1648,1648,3500.0,2026-01-09,2026-01-12,Late,0,3,5768000.0
PO00151,2026-02-12,S017,P031,Coimbatore,385,385,8500.0,2026-02-22,2026-03-08,Late,0,14,3272500.0
PO00152,2025-06-01,S020,P035,Hosur,1115,1115,8500.0,2025-06-21,2025-06-19,Delivered,0,-2,9477500.0
PO00153,2025-06-16,S011,P024,Chengalpattu,267,267,900.0,2025-06-28,2025-06-26,Delivered,0,-2,240300.0
PO00154,2025-01-21,S008,P018,Chennai,1268,1268,16000.0,2025-02-08,2025-02-07,Delivered,0,-1,20288000.0
PO00155,2026-07-13,S007,P014,Coimbatore,369,336,20000.0,2026-08-07,2026-08-10,Partial,33,3,7380000.0
PO00156,2025-12-08,S010,P016,Hosur,852,852,32000.0,2026-01-02,2026-01-01,Delivered,0,-1,27264000.0
PO00157,2025-06-18,S023,P040,Chengalpattu,1272,1272,3500.0,2025-07-06,2025-07-05,Delivered,0,-1,4452000.0
PO00158,2026-03-15,S013,P021,Chengalpattu,814,814,22000.0,2026-04-04,2026-04-11,Late,0,7,17908000.0
PO00159,2026-05-08,S024,P040,Chengalpattu,598,598,4000.0,2026-05-31,2026-05-31,Delivered,0,0,2392000.0
PO00160,2026-02-23,S016,P028,Coimbatore,1245,1245,8000.0,2026-03-17,2026-03-17,Delivered,0,0,9960000.0
PO00161,2026-06-25,S024,P038,Hosur,1475,1376,10500.0,2026-07-18,2026-07-21,Partial,99,3,15487500.0
PO00162,2026-02-23,S010,P020,Chennai,1330,1330,2100.0,2026-03-19,2026-03-17,Delivered,0,-2,2793000.0
PO00163,2025-02-16,S024,P038,Coimbatore,725,725,10500.0,2025-03-11,2025-03-13,Delivered,0,2,7612500.0
PO00164,2026-08-26,S016,P027,Chennai,276,276,4000.0,2026-09-16,2026-09-29,Late,0,13,1104000.0
PO00165,2025-07-11,S003,P002,Chennai,1265,1265,4200.0,2025-08-05,2025-08-04,Delivered,0,-1,5313000.0
PO00166,2026-04-13,S001,P007,Chennai,148,148,3200.0,2026-04-28,2026-04-28,Delivered,0,0,473600.0
PO00167,2026-01-24,S001,P006,Chengalpattu,1157,802,8500.0,2026-02-08,2026-02-11,Late + Partial,355,3,9834500.0
PO00168,2025-10-06,S005,P012,Hosur,782,782,14000.0,2025-10-24,2025-10-23,Delivered,0,-1,10948000.0
PO00169,2025-02-21,S025,P045,Hosur,473,366,10000.0,2025-03-05,2025-03-07,Partial,107,2,4730000.0
PO00170,2026-08-09,S015,P029,Coimbatore,519,519,280.0,2026-08-27,2026-08-31,Late,0,4,145320.0
PO00171,2025-06-05,S010,P016,Chennai,881,881,32000.0,2025-06-30,2025-06-30,Delivered,0,0,28192000.0
PO00172,2025-08-27,S002,P005,Chengalpattu,749,749,16500.0,2025-09-15,2025-09-16,Delivered,0,1,12358500.0
PO00173,2025-03-25,S002,P006,Coimbatore,1138,1070,9000.0,2025-04-12,2025-04-11,Partial,68,-1,10242000.0
PO00174,2026-01-11,S009,P016,Chennai,1281,1281,30000.0,2026-02-01,2026-02-03,Delivered,0,2,38430000.0
PO00175,2025-03-25,S019,P031,Chengalpattu,768,498,9500.0,2025-04-09,2025-04-11,Partial,270,2,7296000.0
PO00176,2026-07-09,S005,P011,Chennai,583,480,42000.0,2026-07-29,2026-08-03,Late + Partial,103,5,24486000.0
PO00177,2025-04-10,S001,P008,Chennai,138,138,1800.0,2025-04-25,2025-05-03,Late,0,8,248400.0
PO00178,2026-05-14,S026,P042,Chennai,1341,1341,13500.0,2026-06-01,2026-06-10,Late,0,9,18103500.0
PO00179,2026-06-02,S023,P039,Coimbatore,228,228,1800.0,2026-06-20,2026-06-18,Delivered,0,-2,410400.0
PO00180,2026-08-02,S007,P014,Coimbatore,1658,1658,20000.0,2026-08-27,2026-08-29,Delivered,0,2,33160000.0
PO00181,2026-07-15,S026,P044,Chengalpattu,703,703,15500.0,2026-08-03,2026-08-17,Late,0,14,10896500.0
PO00182,2025-08-17,S001,P009,Hosur,1754,1754,6500.0,2025-09-02,2025-09-03,Delivered,0,1,11401000.0
PO00183,2025-03-19,S019,P030,Chennai,1018,1018,8000.0,2025-04-03,2025-04-02,Delivered,0,-1,8144000.0
PO00184,2025-04-06,S014,P028,Chengalpattu,296,296,7000.0,2025-04-21,2025-04-21,Delivered,0,0,2072000.0
PO00185,2025-11-04,S007,P011,Chennai,1986,1703,48000.0,2025-12-02,2025-12-04,Partial,283,2,95328000.0
PO00186,2026-08-25,S020,P036,Hosur,789,789,6000.0,2026-09-14,2026-09-13,Delivered,0,-1,4734000.0
PO00187,2026-02-01,S024,P039,Coimbatore,782,782,2100.0,2026-02-24,2026-02-25,Delivered,0,1,1642200.0
PO00188,2026-06-17,S017,P031,Chennai,130,130,8500.0,2026-06-27,2026-07-10,Late,0,13,1105000.0
PO00189,2025-07-04,S002,P008,Hosur,1682,1682,1950.0,2025-07-23,2025-08-03,Late,0,11,3279900.0
PO00190,2025-02-01,S002,P006,Chennai,280,171,9000.0,2025-02-19,2025-02-22,Partial,109,3,2520000.0
PO00191,2025-01-20,S016,P027,Chengalpattu,304,278,4000.0,2025-02-10,2025-02-11,Partial,26,1,1216000.0
PO00192,2025-10-21,S014,P028,Hosur,493,493,7000.0,2025-11-05,2025-11-05,Delivered,0,0,3451000.0
PO00193,2026-02-05,S023,P039,Hosur,883,883,1800.0,2026-02-23,2026-02-22,Delivered,0,-1,1589400.0
PO00194,2025-05-16,S005,P011,Chennai,1427,1427,42000.0,2025-06-05,2025-06-05,Delivered,0,0,59934000.0
PO00195,2026-07-25,S020,P037,Hosur,1944,1944,12000.0,2026-08-14,2026-08-25,Late,0,11,23328000.0
PO00196,2026-05-16,S005,P011,Hosur,786,786,42000.0,2026-06-05,2026-06-07,Delivered,0,2,33012000.0
PO00197,2026-02-07,S009,P018,Coimbatore,1881,1881,17500.0,2026-03-01,2026-02-27,Delivered,0,-2,32917500.0
PO00198,2025-02-25,S025,P045,Chennai,840,840,10000.0,2025-03-09,2025-03-08,Delivered,0,-1,8400000.0
PO00199,2025-09-25,S024,P040,Chengalpattu,575,575,4000.0,2025-10-18,2025-10-16,Delivered,0,-2,2300000.0
PO00200,2026-06-05,S021,P034,Chennai,1750,1750,18000.0,2026-06-29,2026-06-29,Delivered,0,0,31500000.0
PO00201,2025-09-20,S011,P021,Chengalpattu,1549,1549,18000.0,2025-10-02,2025-10-03,Delivered,0,1,27882000.0
PO00202,2025-10-14,S001,P006,Coimbatore,285,285,8500.0,2025-10-29,2025-10-28,Delivered,0,-1,2422500.0
PO00203,2026-02-19,S016,P028,Chennai,1131,1131,8000.0,2026-03-13,2026-03-14,Delivered,0,1,9048000.0
PO00204,2026-07-26,S011,P023,Chennai,644,644,3500.0,2026-08-07,2026-08-17,Late,0,10,2254000.0
PO00205,2025-03-10,S014,P027,Hosur,232,232,3500.0,2025-03-24,2025-03-24,Delivered,0,0,812000.0
PO00206,2025-09-25,S025,P045,Hosur,1520,1024,10000.0,2025-10-07,2025-10-10,Late + Partial,496,3,15200000.0
PO00207,2025-08-03,S002,P010,Coimbatore,999,999,4500.0,2025-08-22,2025-08-20,Delivered,0,-2,4495500.0
PO00208,2026-05-23,S002,P001,Hosur,222,222,88000.0,2026-06-10,2026-06-10,Delivered,0,0,19536000.0
PO00209,2025-06-16,S005,P014,Chengalpattu,1466,1466,18000.0,2025-07-06,2025-07-06,Delivered,0,0,26388000.0
PO00210,2026-03-23,S017,P031,Hosur,812,812,8500.0,2026-04-02,2026-04-08,Late,0,6,6902000.0
PO00211,2025-12-09,S022,P037,Coimbatore,160,160,13500.0,2026-01-05,2026-01-07,Delivered,0,2,2160000.0
PO00212,2025-07-07,S008,P018,Coimbatore,851,851,16000.0,2025-07-25,2025-07-24,Delivered,0,-1,13616000.0
PO00213,2026-07-29,S002,P005,Chengalpattu,559,559,16500.0,2026-08-17,2026-08-16,Delivered,0,-1,9223500.0
PO00214,2025-11-29,S021,P036,Chennai,175,175,7000.0,2025-12-23,2025-12-22,Delivered,0,-1,1225000.0
PO00215,2025-03-03,S021,P034,Chennai,1450,1023,18000.0,2025-03-27,2025-03-30,Partial,427,3,26100000.0
PO00216,2025-10-05,S012,P023,Chengalpattu,1608,1099,3800.0,2025-10-21,2025-10-26,Late + Partial,509,5,6110400.0
PO00217,2026-05-29,S023,P038,Hosur,408,344,9500.0,2026-06-16,2026-06-18,Partial,64,2,3876000.0
PO00218,2025-01-01,S009,P019,Hosur,1678,1678,3500.0,2025-01-22,2025-01-26,Late,0,4,5873000.0
PO00219,2025-12-20,S011,P023,Chennai,1597,1597,3500.0,2026-01-01,2026-01-03,Delivered,0,2,5589500.0
