part_id,part_name,warehouse,available_stock,safety_stock,reorder_level,inventory_status,stock_ratio
P022,Charging Port,Hosur,1569,372,695,Healthy,2.257553956834532
P022,Charging Port,Coimbatore,1560,373,719,Healthy,2.1696801112656465
P022,Charging Port,Chengalpattu,1106,270,635,Healthy,1.741732283464567
P023,Charging Cable,Chennai,690,100,169,Healthy,4.0828402366863905
P023,Charging Cable,Hosur,1684,248,414,Healthy,4.067632850241546
P023,Charging Cable,Coimbatore,2316,368,862,Healthy,2.6867749419953597
P023,Charging Cable,Chengalpattu,5942,1102,1760,Healthy,3.3761363636363635
P024,High Voltage Connector,Chennai,7955,1596,2966,Healthy,2.682063385030344
P024,High Voltage Connector,Hosur,8306,1476,3509,Healthy,2.367056141350812
P024,High Voltage Connector,Coimbatore,1284,291,476,Healthy,2.697478991596639
P024,High Voltage Connector,Chengalpattu,7843,1434,2576,Healthy,3.044642857142857
P025,Thermal Management System,Chennai,1037,229,542,Healthy,1.9132841328413284
P025,Thermal Management System,Hosur,9216,1034,1556,Healthy,5.922879177377892
P025,Thermal Management System,Coimbatore,5280,681,1069,Healthy,4.939195509822264
P025,Thermal Management System,Chengalpattu,8673,1902,4545,Healthy,1.9082508250825083
P026,Cooling Pump,Chennai,7114,740,1538,Healthy,4.625487646293888
P026,Cooling Pump,Hosur,6419,1198,1840,Healthy,3.4885869565217393
P026,Cooling Pump,Coimbatore,4269,774,1382,Healthy,3.0890014471780027
P026,Cooling Pump,Chengalpattu,6957,1593,2788,Healthy,2.4953371592539453
P027,Cooling Fan,Chennai,5277,1178,2191,Healthy,2.408489274303971
P027,Cooling Fan,Hosur,2991,445,1035,Healthy,2.889855072463768
P027,Cooling Fan,Coimbatore,6191,819,1738,Healthy,3.5621403912543155
P027,Cooling Fan,Chengalpattu,5815,1315,2228,Healthy,2.609964093357271
P028,Radiator,Chennai,4642,951,1558,Healthy,2.9794608472400514
P028,Radiator,Hosur,7299,1798,3625,Healthy,2.0135172413793105
P028,Radiator,Coimbatore,2193,232,440,Healthy,4.984090909090909
P028,Radiator,Chengalpattu,5677,634,967,Healthy,5.8707342295760085
P029,Coolant,Chennai,8808,987,1903,Healthy,4.628481345244351
P029,Coolant,Hosur,2431,392,655,Healthy,3.711450381679389
P029,Coolant,Coimbatore,1012,168,292,Healthy,3.4657534246575343
P029,Coolant,Chengalpattu,5737,1188,2566,Healthy,2.235775526110678
P030,High Voltage Cable,Chennai,3843,682,1471,Healthy,2.612508497620666
P030,High Voltage Cable,Hosur,1080,207,397,Healthy,2.720403022670025
P030,High Voltage Cable,Coimbatore,3647,674,1117,Healthy,3.2649955237242616
P030,High Voltage Cable,Chengalpattu,7753,792,1279,Healthy,6.061767005473026
P031,Wiring Harness,Chennai,5688,649,1175,Healthy,4.8408510638297875
P031,Wiring Harness,Hosur,7117,1236,2439,Healthy,2.9179991799917997
P031,Wiring Harness,Coimbatore,7921,1307,2481,Healthy,3.192664248286981
P031,Wiring Harness,Chengalpattu,7165,1736,4143,Healthy,1.7294231233405744
P032,12V Auxiliary Battery,Chennai,7890,807,1963,Healthy,4.01935812531839
P032,12V Auxiliary Battery,Hosur,9707,1929,3207,Healthy,3.0268163392578735
P032,12V Auxiliary Battery,Coimbatore,3339,806,1970,Healthy,1.6949238578680204
P032,12V Auxiliary Battery,Chengalpattu,9587,1873,4309,Healthy,2.2248781619865396
P033,Low Voltage Connector,Chennai,7333,1363,2219,Healthy,3.3046417305092386
P033,Low Voltage Connector,Hosur,5552,1009,2463,Healthy,2.254161591555014
P033,Low Voltage Connector,Coimbatore,8502,1896,4079,Healthy,2.084334395685217
P033,Low Voltage Connector,Chengalpattu,1566,202,317,Healthy,4.94006309148265
P034,Vehicle Control Unit,Chennai,6226,974,1498,Healthy,4.1562082777036045
P034,Vehicle Control Unit,Hosur,9445,1912,3004,Healthy,3.144141145139814
P034,Vehicle Control Unit,Coimbatore,9467,1493,3257,Healthy,2.9066625729198647
P034,Vehicle Control Unit,Chengalpattu,917,127,253,Healthy,3.624505928853755
P035,Electronic Control Module,Chennai,1325,270,574,Healthy,2.308362369337979
P035,Electronic Control Module,Hosur,912,96,184,Healthy,4.956521739130435
P035,Electronic Control Module,Coimbatore,7664,1090,1828,Healthy,4.192560175054704
P035,Electronic Control Module,Chengalpattu,3004,556,1154,Healthy,2.603119584055459
P036,CAN Communication Module,Chennai,1622,262,490,Healthy,3.3102040816326532
P036,CAN Communication Module,Hosur,2643,399,969,Healthy,2.7275541795665634
P036,CAN Communication Module,Coimbatore,3940,795,1780,Healthy,2.2134831460674156
P036,CAN Communication Module,Chengalpattu,3414,394,946,Healthy,3.6088794926004226
P037,Vehicle Display Unit,Chennai,9287,2079,3783,Healthy,2.4549299497753108
P037,Vehicle Display Unit,Hosur,1198,137,212,Healthy,5.650943396226415
P037,Vehicle Display Unit,Coimbatore,7900,1793,3325,Healthy,2.3759398496240602
P037,Vehicle Display Unit,Chengalpattu,1217,245,485,Healthy,2.509278350515464
P038,Insulation Monitoring Device,Chennai,5986,673,1071,Healthy,5.5891690009337065
P038,Insulation Monitoring Device,Hosur,4991,745,1618,Healthy,3.084672435105068
P038,Insulation Monitoring Device,Coimbatore,8151,1971,4496,Healthy,1.8129448398576513
P038,Insulation Monitoring Device,Chengalpattu,1562,177,353,Healthy,4.424929178470255
P039,Crash Sensor,Chennai,7041,1284,2492,Healthy,2.8254414125200644
P039,Crash Sensor,Hosur,5834,1061,2340,Healthy,2.493162393162393
P039,Crash Sensor,Coimbatore,5346,649,1467,Healthy,3.644171779141104
P039,Crash Sensor,Chengalpattu,3039,699,1634,Healthy,1.8598531211750307
P040,Emergency Disconnect,Chennai,5793,1188,1868,Healthy,3.1011777301927195
P040,Emergency Disconnect,Hosur,7438,1531,2421,Healthy,3.0722841800908713
P040,Emergency Disconnect,Coimbatore,6041,1498,2807,Healthy,2.1521197007481296
P040,Emergency Disconnect,Chengalpattu,1865,413,1010,Healthy,1.8465346534653466
P041,Vehicle Chassis,Chennai,4812,908,1679,Healthy,2.865991661703395
P041,Vehicle Chassis,Hosur,7919,891,2028,Healthy,3.9048323471400392
P041,Vehicle Chassis,Coimbatore,5801,1193,2086,Healthy,2.780920421860019
P041,Vehicle Chassis,Chengalpattu,4768,484,952,Healthy,5.008403361344538
P042,Suspension Assembly,Chennai,9773,2063,4677,Healthy,2.089587342313449
P042,Suspension Assembly,Hosur,9586,1892,4249,Healthy,2.2560602494704636
P042,Suspension Assembly,Coimbatore,1004,156,278,Healthy,3.6115107913669067
P042,Suspension Assembly,Chengalpattu,1323,237,458,Healthy,2.888646288209607
P043,Brake Assembly,Chennai,2605,265,654,Healthy,3.9831804281345566
P043,Brake Assembly,Hosur,2352,349,538,Healthy,4.371747211895911
P043,Brake Assembly,Coimbatore,5848,806,1769,Healthy,3.3058224985867724
P043,Brake Assembly,Chengalpattu,6690,1300,2854,Healthy,2.3440784863349684
P044,Steering Assembly,Chennai,3986,994,2183,Healthy,1.825927622537792
P044,Steering Assembly,Hosur,3830,900,1390,Healthy,2.7553956834532376
P044,Steering Assembly,Coimbatore,1853,449,1073,Healthy,1.7269338303821062
P044,Steering Assembly,Chengalpattu,8075,1558,2769,Healthy,2.9162152401589023
P045,Wheel Assembly,Chennai,7319,1240,2298,Healthy,3.1849434290687553
P045,Wheel Assembly,Hosur,1039,116,287,Healthy,3.6202090592334493
P045,Wheel Assembly,Coimbatore,4275,718,1100,Healthy,3.8863636363636362
P045,Wheel Assembly,Chengalpattu,5820,852,1971,Healthy,2.9528158295281584
