transaction_id,transaction_date,part_id,warehouse,transaction_type,quantity,reference_id
TXN000055,2025-06-10,P006,Chennai,RECEIPT,580,PO00801
TXN000056,2026-01-27,P037,Chengalpattu,ISSUE,135,MO01219
TXN000057,2026-04-05,P038,Chengalpattu,ISSUE,955,MO00470
TXN000058,2025-02-07,P040,Hosur,RECEIPT,230,PO01389
TXN000059,2025-01-27,P018,Hosur,TRANSFER,226,TR00277
TXN000060,2026-04-26,P021,Chennai,ISSUE,453,MO00816
TXN000061,2025-02-18,P005,Chengalpattu,RECEIPT,512,PO00017
TXN000062,2025-02-15,P012,Chengalpattu,ISSUE,373,MO02566
TXN000063,2025-10-07,P040,Chengalpattu,RECEIPT,349,PO00497
TXN000064,2025-04-26,P028,Chennai,ISSUE,191,MO02301
TXN000065,2025-09-13,P039,Chengalpattu,TRANSFER,323,TR00128
TXN000066,2026-07-20,P044,Chennai,ISSUE,570,MO01347
TXN000067,2025-06-04,P013,Chengalpattu,RECEIPT,490,PO01410
TXN000068,2026-01-28,P004,Chennai,TRANSFER,811,TR00246
TXN000069,2026-06-22,P006,Coimbatore,RECEIPT,867,PO01842
TXN000070,2026-05-21,P016,Chengalpattu,TRANSFER,903,TR00825
TXN000071,2026-05-27,P013,Chennai,RECEIPT,400,PO00654
TXN000072,2025-04-02,P034,Coimbatore,RECEIPT,354,PO00834
TXN000073,2026-07-29,P008,Coimbatore,RECEIPT,190,PO01149
TXN000074,2025-11-01,P037,Hosur,TRANSFER,692,TR00682
TXN000075,2026-03-20,P026,Coimbatore,ISSUE,613,MO02312
TXN000076,2025-01-05,P044,Chengalpattu,RECEIPT,103,PO01220
TXN000077,2025-12-16,P005,Chennai,RECEIPT,47,PO00867
TXN000078,2025-09-26,P032,Chengalpattu,ISSUE,370,MO00636
TXN000079,2026-08-27,P007,Coimbatore,ISSUE,58,MO01975
TXN000080,2025-05-07,P024,Chennai,RECEIPT,393,PO01932
TXN000081,2026-05-28,P002,Chennai,RECEIPT,751,PO00802
TXN000082,2026-08-24,P027,Hosur,RECEIPT,488,PO01261
TXN000083,2026-03-23,P008,Chennai,ADJUSTMENT,-79,ADJ00861
TXN000084,2026-03-11,P027,Coimbatore,RECEIPT,997,PO01110
TXN000085,2025-02-16,P041,Hosur,RECEIPT,94,PO01774
TXN000086,2025-08-06,P011,Chengalpattu,RECEIPT,474,PO00432
TXN000087,2025-09-11,P040,Coimbatore,RECEIPT,734,PO00357
TXN000088,2025-04-10,P038,Hosur,ISSUE,802,MO02810
TXN000089,2025-11-21,P034,Hosur,ISSUE,516,MO02840
TXN000090,2025-06-09,P031,Coimbatore,TRANSFER,475,TR00852
TXN000091,2026-01-15,P021,Chengalpattu,ISSUE,545,MO00957
TXN000092,2026-07-31,P023,Coimbatore,TRANSFER,417,TR00168
TXN000093,2026-02-01,P023,Coimbatore,RECEIPT,12,PO01631
TXN000094,2025-02-04,P008,Hosur,RECEIPT,727,PO00849
TXN000095,2026-08-25,P029,Chengalpattu,ISSUE,418,MO00115
TXN000096,2026-05-16,P041,Coimbatore,RECEIPT,626,PO01517
TXN000097,2025-10-04,P032,Chennai,RECEIPT,761,PO00676
TXN000098,2025-07-11,P006,Chennai,ISSUE,739,MO01123
TXN000099,2025-04-06,P008,Chengalpattu,ISSUE,664,MO02711
TXN000100,2026-01-04,P009,Chengalpattu,TRANSFER,695,TR00525
TXN000101,2025-09-30,P018,Chennai,RECEIPT,881,PO00062
TXN000102,2026-02-01,P023,Chengalpattu,ISSUE,699,MO02225
TXN000103,2025-03-17,P038,Chengalpattu,ADJUSTMENT,98,ADJ00796
TXN000104,2026-05-21,P003,Coimbatore,ADJUSTMENT,43,ADJ00885
TXN000105,2026-04-14,P026,Coimbatore,ISSUE,484,MO01168
TXN000106,2025-02-11,P033,Coimbatore,RECEIPT,186,PO00935
TXN000107,2025-06-12,P021,Coimbatore,RECEIPT,215,PO00733
TXN000108,2026-08-11,P013,Coimbatore,RECEIPT,9,PO01098
TXN000109,2025-08-18,P005,Chengalpattu,TRANSFER,519,TR00174
TXN000110,2025-07-13,P037,Chengalpattu,RECEIPT,517,PO00029
TXN000111,2026-05-11,P002,Hosur,ADJUSTMENT,-36,ADJ00342
TXN000112,2025-08-05,P021,Chennai,TRANSFER,301,TR00132
TXN000113,2026-03-21,P036,Hosur,ISSUE,876,MO01206
TXN000114,2026-06-15,P018,Coimbatore,RECEIPT,39,PO01150
TXN000115,2025-08-08,P036,Chennai,RECEIPT,638,PO01082
TXN000116,2025-12-27,P006,Chengalpattu,ISSUE,935,MO02435
TXN000117,2025-07-10,P035,Chengalpattu,ADJUSTMENT,12,ADJ00409
TXN000118,2025-05-14,P003,Chennai,RECEIPT,58,PO01580
TXN000119,2025-05-29,P011,Chengalpattu,ISSUE,80,MO02934
TXN000120,2025-08-15,P011,Coimbatore,TRANSFER,659,TR00532
TXN000121,2026-06-10,P040,Coimbatore,ISSUE,143,MO01397
TXN000122,2026-04-16,P005,Hosur,ISSUE,953,MO01036
TXN000123,2025-12-24,P029,Chengalpattu,RECEIPT,972,PO01432
TXN000124,2025-12-14,P016,Chennai,RECEIPT,676,PO00090
TXN000125,2026-06-24,P024,Hosur,RECEIPT,732,PO00869
TXN000126,2026-05-17,P041,Chengalpattu,ADJUSTMENT,44,ADJ00201
TXN000127,2026-07-12,P045,Chennai,TRANSFER,547,TR00253
TXN000128,2026-03-26,P002,Hosur,ISSUE,10,MO02872
TXN000129,2025-01-05,P001,Hosur,ISSUE,119,MO01016
TXN000130,2025-08-27,P045,Chennai,ISSUE,177,MO01803
TXN000131,2026-04-06,P043,Hosur,ISSUE,929,MO01634
TXN000132,2026-02-09,P044,Coimbatore,RECEIPT,823,PO00518
TXN000133,2026-03-13,P019,Chennai,ISSUE,23,MO02725
TXN000134,2025-03-26,P024,Hosur,ISSUE,78,MO02505
TXN000135,2026-03-22,P007,Chennai,ADJUSTMENT,12,ADJ00488
TXN000136,2025-03-13,P005,Hosur,ISSUE,551,MO02202
TXN000137,2025-11-02,P005,Hosur,ISSUE,268,MO01985
TXN000138,2026-02-05,P044,Chengalpattu,ISSUE,624,MO02815
TXN000139,2026-08-01,P021,Coimbatore,ISSUE,75,MO00435
TXN000140,2025-11-02,P033,Hosur,ISSUE,98,MO02846
TXN000141,2025-11-04,P008,Coimbatore,RECEIPT,249,PO00166
TXN000142,2026-06-26,P036,Chengalpattu,TRANSFER,759,TR00106
TXN000143,2025-05-18,P020,Chennai,TRANSFER,184,TR00401
TXN000144,2025-03-10,P027,Chennai,RECEIPT,546,PO01798
TXN000145,2025-02-12,P021,Hosur,RECEIPT,752,PO01995
TXN000146,2025-07-02,P031,Coimbatore,RECEIPT,848,PO00095
TXN000147,2025-12-26,P034,Hosur,ISSUE,900,MO01720
TXN000148,2025-04-03,P032,Coimbatore,TRANSFER,672,TR00946
TXN000149,2025-01-05,P042,Hosur,RECEIPT,466,PO00604
TXN000150,2026-05-28,P035,Chennai,RECEIPT,645,PO00233
TXN000151,2025-03-19,P032,Hosur,TRANSFER,730,TR00813
TXN000152,2025-02-16,P025,Chennai,RECEIPT,121,PO00214
TXN000153,2025-02-17,P036,Chengalpattu,TRANSFER,573,TR00337
TXN000154,2025-09-10,P031,Chengalpattu,TRANSFER,692,TR00719
TXN000155,2026-06-10,P041,Coimbatore,TRANSFER,474,TR00028
TXN000156,2025-12-31,P014,Hosur,ISSUE,666,MO00526
TXN000157,2025-01-03,P034,Chengalpattu,RECEIPT,623,PO00919
TXN000158,2025-10-01,P042,Coimbatore,ISSUE,506,MO02854
TXN000159,2026-04-30,P020,Coimbatore,RECEIPT,28,PO00714
TXN000160,2025-03-27,P009,Chennai,TRANSFER,474,TR00126
TXN000161,2025-07-31,P017,Chennai,TRANSFER,25,TR00580
TXN000162,2025-05-26,P042,Coimbatore,ISSUE,111,MO02276
TXN000163,2026-01-04,P003,Hosur,ISSUE,748,MO02643
TXN000164,2025-10-09,P007,Chennai,RECEIPT,320,PO01762
TXN000165,2026-01-12,P018,Chengalpattu,ISSUE,289,MO01461
TXN000166,2026-05-18,P029,Chennai,RECEIPT,624,PO00516
TXN000167,2025-12-16,P017,Coimbatore,RECEIPT,607,PO01688
TXN000168,2025-08-31,P002,Chennai,RECEIPT,543,PO01064
TXN000169,2025-01-06,P010,Chengalpattu,ADJUSTMENT,-26,ADJ00004
TXN000170,2026-08-29,P002,Hosur,ADJUSTMENT,78,ADJ00574
TXN000171,2026-01-27,P013,Hosur,ISSUE,26,MO01459
TXN000172,2026-02-14,P014,Chengalpattu,RECEIPT,118,PO00836
TXN000173,2025-04-23,P016,Chengalpattu,ISSUE,140,MO00559
TXN000174,2026-07-04,P037,Hosur,ISSUE,805,MO01918
TXN000175,2025-09-16,P036,Coimbatore,ISSUE,673,MO00902
TXN000176,2025-06-21,P024,Chengalpattu,RECEIPT,898,PO00013
TXN000177,2025-11-15,P008,Hosur,RECEIPT,613,PO00329
TXN000178,2026-07-04,P024,Chennai,ISSUE,419,MO01119
TXN000179,2025-08-24,P004,Chennai,TRANSFER,946,TR00334
TXN000180,2026-08-11,P012,Chengalpattu,ADJUSTMENT,-66,ADJ00513
TXN000181,2025-12-15,P045,Chengalpattu,ISSUE,840,MO00873
TXN000182,2025-10-18,P006,Hosur,ISSUE,725,MO02053
TXN000183,2026-07-28,P018,Coimbatore,ISSUE,132,MO00601
TXN000184,2025-10-23,P007,Hosur,ISSUE,840,MO01319
TXN000185,2026-02-26,P013,Hosur,TRANSFER,865,TR00023
TXN000186,2025-05-25,P044,Coimbatore,ISSUE,225,MO00503
TXN000187,2025-04-14,P042,Hosur,RECEIPT,947,PO01063
TXN000188,2026-01-26,P009,Hosur,TRANSFER,179,TR00968
TXN000189,2025-10-16,P020,Chengalpattu,RECEIPT,478,PO01255
TXN000190,2026-03-17,P015,Chengalpattu,ADJUSTMENT,54,ADJ00951
TXN000191,2026-06-06,P013,Hosur,RECEIPT,517,PO01659
TXN000192,2025-06-08,P006,Hosur,TRANSFER,815,TR00228
TXN000193,2025-01-15,P021,Chengalpattu,ISSUE,157,MO02095
TXN000194,2026-02-15,P030,Chengalpattu,ISSUE,95,MO02675
TXN000195,2025-10-10,P021,Chengalpattu,ISSUE,69,MO01684
TXN000196,2026-07-04,P031,Hosur,TRANSFER,134,TR00712
TXN000197,2025-12-29,P008,Coimbatore,RECEIPT,396,PO00218
TXN000198,2026-04-05,P018,Chengalpattu,ISSUE,356,MO01348
TXN000199,2025-05-07,P033,Chengalpattu,RECEIPT,106,PO01009
TXN000200,2025-02-20,P027,Coimbatore,ISSUE,29,MO02827
TXN000201,2026-02-09,P037,Chennai,RECEIPT,346,PO01646
TXN000202,2025-01-01,P029,Hosur,TRANSFER,831,TR00950
TXN000203,2026-03-07,P040,Coimbatore,ISSUE,969,MO01333
TXN000204,2026-07-29,P021,Chengalpattu,ISSUE,244,MO00537
TXN000205,2025-07-29,P038,Hosur,RECEIPT,475,PO00418
TXN000206,2025-06-28,P003,Chengalpattu,RECEIPT,182,PO00664
TXN000207,2025-06-10,P026,Chengalpattu,ISSUE,177,MO00285
TXN000208,2025-06-05,P011,Coimbatore,ISSUE,882,MO01493
TXN000209,2025-12-27,P005,Coimbatore,ADJUSTMENT,47,ADJ00630
TXN000210,2025-12-26,P019,Chengalpattu,ISSUE,561,MO00327
TXN000211,2025-08-03,P023,Chengalpattu,RECEIPT,435,PO01915
TXN000212,2025-10-12,P019,Coimbatore,RECEIPT,305,PO00429
TXN000213,2025-01-19,P003,Hosur,TRANSFER,18,TR00769
TXN000214,2025-07-13,P036,Coimbatore,ISSUE,502,MO00988
TXN000215,2025-09-21,P032,Hosur,ISSUE,925,MO00055
TXN000216,2026-04-03,P022,Coimbatore,ISSUE,979,MO01902
TXN000217,2025-02-24,P005,Chengalpattu,TRANSFER,476,TR00800
TXN000218,2025-11-09,P033,Coimbatore,ISSUE,759,MO01859
TXN000219,2025-11-24,P006,Coimbatore,ISSUE,54,MO02809
TXN000220,2026-08-27,P010,Chennai,RECEIPT,264,PO01442
TXN000221,2025-10-15,P026,Chengalpattu,ADJUSTMENT,-55,ADJ00491
TXN000222,2025-07-01,P042,Chengalpattu,TRANSFER,469,TR00910
TXN000223,2025-01-07,P007,Coimbatore,TRANSFER,330,TR00775
TXN000224,2026-01-16,P014,Coimbatore,TRANSFER,915,TR00548
TXN000225,2026-06-07,P026,Chengalpattu,ISSUE,746,MO01410
TXN000226,2026-06-16,P023,Coimbatore,RECEIPT,261,PO00805
TXN000227,2025-08-14,P011,Chengalpattu,ISSUE,53,MO02988
TXN000228,2025-12-30,P012,Chengalpattu,ADJUSTMENT,-20,ADJ00714
TXN000229,2025-05-08,P026,Chengalpattu,ADJUSTMENT,13,ADJ00115
TXN000230,2025-08-25,P027,Hosur,ISSUE,281,MO01782
TXN000231,2026-03-18,P044,Coimbatore,ISSUE,29,MO02658
TXN000232,2025-05-26,P024,Chennai,RECEIPT,128,PO01877
TXN000233,2025-02-03,P006,Chengalpattu,ISSUE,17,MO01701
TXN000234,2026-08-22,P031,Hosur,TRANSFER,629,TR00874
TXN000235,2025-10-14,P031,Chennai,RECEIPT,646,PO00731
TXN000236,2026-03-31,P033,Hosur,ISSUE,906,MO01709
TXN000237,2026-07-12,P028,Hosur,ISSUE,576,MO00130
TXN000238,2025-10-19,P010,Hosur,ISSUE,371,MO00794
TXN000239,2025-01-11,P015,Chennai,TRANSFER,512,TR00676
TXN000240,2025-08-15,P033,Coimbatore,RECEIPT,310,PO00098
TXN000241,2026-02-10,P019,Coimbatore,ADJUSTMENT,-45,ADJ00289
TXN000242,2026-04-12,P017,Chengalpattu,ISSUE,739,MO00365
TXN000243,2026-03-26,P018,Hosur,ISSUE,501,MO02121
TXN000244,2025-08-05,P027,Chengalpattu,ISSUE,61,MO00939
TXN000245,2025-05-11,P017,Hosur,ISSUE,498,MO01253
TXN000246,2025-04-12,P028,Chengalpattu,ADJUSTMENT,-89,ADJ00275
TXN000247,2025-01-17,P028,Chengalpattu,TRANSFER,330,TR00569
TXN000248,2025-11-14,P042,Chennai,RECEIPT,592,PO00216
TXN000249,2025-03-22,P016,Chengalpattu,ISSUE,727,MO01509
TXN000250,2026-06-21,P028,Chengalpattu,TRANSFER,466,TR00089
TXN000251,2026-05-04,P027,Coimbatore,ISSUE,877,MO01562
TXN000252,2026-02-05,P009,Chengalpattu,ISSUE,919,MO01818
TXN000253,2025-12-01,P014,Hosur,TRANSFER,629,TR00519
TXN000254,2026-05-13,P033,Coimbatore,TRANSFER,827,TR00727
TXN000255,2026-01-07,P044,Hosur,ISSUE,935,MO00402
TXN000256,2026-06-10,P018,Hosur,ISSUE,159,MO02668
TXN000257,2025-06-20,P001,Chennai,RECEIPT,936,PO00986
TXN000258,2026-06-11,P014,Coimbatore,RECEIPT,888,PO00497
TXN000259,2026-02-01,P004,Chennai,ISSUE,722,MO00016
TXN000260,2026-03-26,P003,Hosur,TRANSFER,311,TR00739
TXN000261,2025-05-21,P011,Hosur,RECEIPT,274,PO01440
TXN000262,2025-01-29,P035,Coimbatore,RECEIPT,958,PO00477
TXN000263,2026-03-16,P039,Chengalpattu,ISSUE,748,MO01263
TXN000264,2025-12-25,P019,Hosur,RECEIPT,340,PO00389
TXN000265,2026-03-05,P005,Hosur,RECEIPT,142,PO00376
TXN000266,2025-10-20,P008,Hosur,RECEIPT,665,PO00432
TXN000267,2026-08-08,P009,Chennai,ADJUSTMENT,-52,ADJ00889
TXN000268,2025-03-02,P008,Chengalpattu,RECEIPT,997,PO00939
TXN000269,2025-11-15,P041,Hosur,ADJUSTMENT,-13,ADJ00011
TXN000270,2026-07-18,P013,Chennai,ADJUSTMENT,-42,ADJ00584
TXN000271,2025-08-31,P038,Chennai,ISSUE,493,MO01390
TXN000272,2025-08-06,P045,Coimbatore,RECEIPT,937,PO00753
TXN000273,2025-02-23,P029,Chengalpattu,ISSUE,47,MO00727
TXN000274,2026-07-27,P013,Coimbatore,ISSUE,891,MO02467
TXN000275,2025-08-04,P023,Hosur,ISSUE,3,MO00160
TXN000276,2025-03-30,P019,Hosur,ISSUE,329,MO00580
TXN000277,2025-11-19,P001,Chennai,RECEIPT,635,PO00988
TXN000278,2025-11-28,P011,Chennai,RECEIPT,170,PO00521
TXN000279,2026-01-30,P037,Chengalpattu,TRANSFER,955,TR00226
TXN000280,2025-11-24,P005,Chengalpattu,ISSUE,251,MO01200
TXN000281,2025-11-12,P001,Hosur,RECEIPT,688,PO00973
TXN000282,2025-04-24,P020,Chennai,ADJUSTMENT,-56,ADJ00224
TXN000283,2025-11-19,P017,Chennai,TRANSFER,568,TR00040
TXN000284,2025-10-16,P024,Chengalpattu,ISSUE,262,MO00216
TXN000285,2025-12-19,P031,Chengalpattu,ISSUE,571,MO02864
TXN000286,2025-12-11,P035,Chennai,TRANSFER,693,TR00170
TXN000287,2025-01-07,P036,Coimbatore,ISSUE,133,MO00557
TXN000288,2026-06-19,P035,Chennai,RECEIPT,426,PO01418
TXN000289,2026-07-05,P014,Coimbatore,RECEIPT,927,PO00082
TXN000290,2026-06-08,P009,Hosur,TRANSFER,295,TR00962
TXN000291,2025-04-23,P038,Chennai,ISSUE,233,MO02065
TXN000292,2026-03-24,P002,Coimbatore,ISSUE,856,MO02413
TXN000293,2026-02-18,P039,Chengalpattu,RECEIPT,455,PO00586
TXN000294,2026-02-16,P009,Chengalpattu,TRANSFER,572,TR00335
TXN000295,2025-07-15,P003,Chennai,RECEIPT,916,PO01888
TXN000296,2025-07-11,P044,Hosur,TRANSFER,17,TR00524
TXN000297,2025-01-22,P039,Chennai,ISSUE,474,MO02258
TXN000298,2025-10-12,P022,Hosur,ADJUSTMENT,63,ADJ00763
TXN000299,2025-01-07,P005,Chengalpattu,ISSUE,29,MO00907
TXN000300,2026-04-04,P040,Hosur,ISSUE,570,MO02007
TXN000301,2025-10-12,P017,Hosur,RECEIPT,516,PO01123
TXN000302,2025-06-06,P044,Chennai,RECEIPT,75,PO00884
TXN000303,2025-03-25,P031,Hosur,ISSUE,22,MO01563
TXN000304,2026-03-16,P018,Chennai,ADJUSTMENT,-80,ADJ00303
TXN000305,2026-03-29,P038,Chennai,ISSUE,387,MO01531
TXN000306,2026-06-11,P042,Hosur,TRANSFER,162,TR00957
TXN000307,2026-06-08,P045,Chengalpattu,TRANSFER,786,TR00271
TXN000308,2025-03-01,P035,Chengalpattu,ISSUE,430,MO00985
TXN000309,2026-08-14,P039,Chennai,ISSUE,27,MO01710
TXN000310,2025-12-15,P043,Chengalpattu,RECEIPT,960,PO01964
TXN000311,2026-07-12,P016,Chengalpattu,TRANSFER,527,TR00153
TXN000312,2025-08-24,P032,Hosur,ISSUE,852,MO01764
TXN000313,2026-05-16,P007,Hosur,RECEIPT,117,PO00386
TXN000314,2025-03-13,P044,Chengalpattu,RECEIPT,789,PO00274
TXN000315,2026-05-10,P022,Chengalpattu,ISSUE,607,MO00166
TXN000316,2025-04-12,P002,Coimbatore,ISSUE,425,MO01416
TXN000317,2026-07-07,P026,Hosur,ISSUE,401,MO02636
TXN000318,2026-08-15,P020,Hosur,RECEIPT,310,PO01110
TXN000319,2025-08-30,P023,Chengalpattu,RECEIPT,865,PO00002
TXN000320,2026-08-12,P021,Chennai,TRANSFER,116,TR00666
TXN000321,2025-03-31,P017,Coimbatore,RECEIPT,686,PO00122
TXN000322,2026-03-04,P020,Coimbatore,RECEIPT,305,PO01896
TXN000323,2025-01-09,P031,Chennai,ISSUE,774,MO02271
TXN000324,2025-09-21,P011,Chennai,ISSUE,840,MO01714
TXN000325,2025-04-21,P023,Hosur,ISSUE,251,MO02431
TXN000326,2026-01-25,P022,Coimbatore,TRANSFER,314,TR00022
TXN000327,2025-01-14,P026,Coimbatore,ISSUE,971,MO02135
TXN000328,2025-08-31,P023,Chennai,ISSUE,122,MO00750
TXN000329,2025-11-05,P045,Chennai,RECEIPT,695,PO00288
TXN000330,2026-07-03,P015,Chengalpattu,ISSUE,352,MO00312
TXN000331,2025-02-04,P023,Coimbatore,ISSUE,445,MO02141
TXN000332,2025-11-28,P043,Coimbatore,RECEIPT,817,PO00862
TXN000333,2025-01-24,P034,Coimbatore,ISSUE,404,MO02853
TXN000334,2026-06-16,P035,Chengalpattu,ISSUE,956,MO02200
TXN000335,2026-02-24,P041,Chennai,ISSUE,250,MO02914
TXN000336,2026-02-22,P035,Chengalpattu,TRANSFER,932,TR00774
TXN000337,2025-07-05,P010,Hosur,ADJUSTMENT,24,ADJ00268
TXN000338,2025-01-21,P017,Chennai,ISSUE,911,MO02915
TXN000339,2026-04-23,P001,Chengalpattu,ISSUE,599,MO00940
TXN000340,2025-10-20,P045,Hosur,ISSUE,837,MO00553
TXN000341,2025-01-14,P017,Hosur,TRANSFER,504,TR00231
TXN000342,2025-05-25,P003,Chengalpattu,ISSUE,891,MO02041
TXN000343,2025-09-18,P022,Hosur,TRANSFER,449,TR00424
TXN000344,2025-10-30,P031,Chengalpattu,ISSUE,287,MO00630
TXN000345,2025-12-27,P013,Chengalpattu,ISSUE,257,MO02181
TXN000346,2026-05-28,P020,Chengalpattu,ISSUE,313,MO00576
TXN000347,2025-04-17,P044,Chengalpattu,ISSUE,933,MO02735
TXN000348,2026-05-12,P020,Chengalpattu,ISSUE,632,MO01580
TXN000349,2025-09-08,P042,Chengalpattu,TRANSFER,957,TR00916
TXN000350,2026-05-26,P026,Hosur,RECEIPT,293,PO01044
TXN000351,2025-02-04,P005,Chennai,ISSUE,198,MO02533
TXN000352,2025-07-25,P027,Coimbatore,RECEIPT,12,PO00490
TXN000353,2025-09-08,P013,Chennai,ISSUE,811,MO00126
TXN000354,2025-07-04,P041,Chennai,ISSUE,39,MO01247
TXN000355,2026-03-04,P014,Coimbatore,ISSUE,294,MO02199
TXN000356,2025-12-02,P031,Hosur,RECEIPT,946,PO00746
TXN000357,2025-05-09,P009,Chengalpattu,ADJUSTMENT,56,ADJ00352
TXN000358,2025-06-24,P028,Chennai,ADJUSTMENT,92,ADJ00311
TXN000359,2026-02-18,P039,Hosur,ISSUE,114,MO00303
TXN000360,2025-12-11,P043,Chennai,RECEIPT,814,PO01988
TXN000361,2025-02-22,P007,Coimbatore,TRANSFER,304,TR00069
TXN000362,2026-07-29,P041,Hosur,RECEIPT,585,PO01185
TXN000363,2026-08-08,P022,Chennai,TRANSFER,757,TR00589
TXN000364,2026-01-16,P038,Chennai,RECEIPT,102,PO00494
TXN000365,2026-04-27,P007,Hosur,ISSUE,594,MO02445
TXN000366,2025-11-27,P024,Coimbatore,ISSUE,641,MO01368
TXN000367,2025-03-06,P017,Coimbatore,RECEIPT,76,PO00711
TXN000368,2026-08-28,P018,Chennai,ISSUE,473,MO01441
TXN000369,2025-04-12,P011,Chennai,ISSUE,986,MO02915
TXN000370,2025-01-03,P022,Hosur,ISSUE,85,MO02376
TXN000371,2025-08-09,P034,Hosur,ISSUE,154,MO00665
TXN000372,2025-10-20,P035,Chennai,ISSUE,975,MO01764
TXN000373,2026-05-13,P018,Chengalpattu,ISSUE,364,MO00891
TXN000374,2025-12-02,P016,Chennai,RECEIPT,815,PO01141
TXN000375,2025-02-20,P025,Coimbatore,RECEIPT,783,PO00324
TXN000376,2025-11-30,P038,Chennai,ISSUE,893,MO00964
TXN000377,2026-06-23,P028,Chennai,RECEIPT,669,PO00751
TXN000378,2025-04-16,P027,Coimbatore,ISSUE,420,MO02718
TXN000379,2025-03-31,P045,Hosur,RECEIPT,345,PO00350
TXN000380,2025-02-08,P018,Coimbatore,TRANSFER,909,TR00159
TXN000381,2026-03-21,P023,Coimbatore,RECEIPT,298,PO00952
TXN000382,2026-01-20,P039,Chengalpattu,ISSUE,172,MO01400
TXN000383,2025-05-21,P011,Hosur,RECEIPT,887,PO01942
