supplier_id,supplier_code,component_id,performance_date,total_orders,on_time_orders,late_orders,ordered_quantity,received_quantity,defective_quantity,on_time_delivery_rate,fill_rate,defect_rate,average_delay_days,operational_score,risk_level
1,SUP001,2,2025-05-01,9,8,1,1823,1798,18,88.89,98.63,1.0,1.3,91.26,LOW
1,SUP001,3,2025-05-01,18,17,1,4486,4372,22,94.44,97.46,0.5,1.95,93.21,LOW
1,SUP001,2,2025-06-01,6,6,0,4502,4370,49,100.0,97.07,1.12,0.0,97.02,LOW
1,SUP001,1,2025-06-01,18,17,1,1259,1236,7,94.44,98.17,0.57,1.02,94.66,LOW
1,SUP001,3,2025-06-01,15,14,1,999,991,3,93.33,99.2,0.3,1.38,94.46,LOW
1,SUP001,5,2025-06-01,15,14,1,3645,3590,16,93.33,98.49,0.45,1.48,93.84,LOW
1,SUP001,4,2025-06-01,18,17,1,3877,3764,35,94.44,97.09,0.93,1.0,93.69,LOW
1,SUP001,2,2025-07-01,20,20,0,3019,2950,13,100.0,97.71,0.44,0.0,98.55,LOW
1,SUP001,4,2025-07-01,20,19,1,2532,2476,24,95.0,97.79,0.97,0.66,94.52,LOW
1,SUP001,1,2025-07-01,10,10,0,4263,4204,49,100.0,98.62,1.17,0.0,97.32,LOW
1,SUP001,3,2025-07-01,14,14,0,4850,4727,55,100.0,97.46,1.16,0.0,97.04,LOW
1,SUP001,5,2025-07-01,6,6,0,1373,1364,6,100.0,99.34,0.44,0.0,98.96,LOW
1,SUP001,1,2025-08-01,12,11,1,2901,2886,24,91.67,99.48,0.83,1.79,92.19,LOW
1,SUP001,5,2025-08-01,18,18,0,4743,4667,35,100.0,98.4,0.75,0.0,98.1,LOW
1,SUP001,3,2025-08-01,7,7,0,1061,1048,9,100.0,98.77,0.86,0.0,97.98,LOW
1,SUP001,2,2025-08-01,15,15,0,1201,1191,12,100.0,99.17,1.01,0.0,97.78,LOW
1,SUP001,4,2025-08-01,19,18,1,4355,4253,43,94.74,97.66,1.01,1.19,93.5,LOW
1,SUP001,3,2025-09-01,9,8,1,2516,2484,6,88.89,98.73,0.24,0.62,93.82,LOW
1,SUP001,2,2025-09-01,18,17,1,1530,1490,10,94.44,97.39,0.67,1.32,93.8,LOW
1,SUP001,4,2025-09-01,10,10,0,2364,2309,20,100.0,97.67,0.87,0.0,97.69,LOW
1,SUP001,5,2025-09-01,20,19,1,4239,4129,27,95.0,97.41,0.65,1.3,94.09,LOW
1,SUP001,1,2025-09-01,15,14,1,1069,1038,4,93.33,97.1,0.39,0.93,94.44,LOW
1,SUP001,3,2025-10-01,16,15,1,4782,4684,22,93.75,97.95,0.47,1.5,93.8,LOW
1,SUP001,1,2025-10-01,7,7,0,1327,1302,9,100.0,98.12,0.69,0.0,98.15,LOW
1,SUP001,5,2025-10-01,14,13,1,4125,4077,37,92.86,98.84,0.91,1.26,93.15,LOW
1,SUP001,4,2025-10-01,12,11,1,1068,1067,5,91.67,99.91,0.47,1.46,93.52,LOW
1,SUP001,2,2025-10-01,10,10,0,3966,3962,45,100.0,99.9,1.14,0.0,97.7,LOW
1,SUP001,3,2025-11-01,11,10,1,3742,3644,31,90.91,97.38,0.85,1.19,92.22,LOW
1,SUP001,1,2025-11-01,19,18,1,3532,3464,30,94.74,98.07,0.87,1.55,93.36,LOW
1,SUP001,2,2025-11-01,18,17,1,2147,2129,13,94.44,99.16,0.61,1.51,94.08,LOW
1,SUP001,4,2025-11-01,12,12,0,4892,4794,11,100.0,98.0,0.23,0.0,99.04,LOW
1,SUP001,5,2025-11-01,19,19,0,4152,4139,39,100.0,99.69,0.94,0.0,98.04,LOW
1,SUP001,4,2025-12-01,20,20,0,1962,1937,23,100.0,98.73,1.19,0.0,97.31,LOW
1,SUP001,3,2025-12-01,20,19,1,1094,1061,9,95.0,96.98,0.85,1.34,93.54,LOW
1,SUP001,2,2025-12-01,11,10,1,4739,4661,21,90.91,98.35,0.45,0.6,94.15,LOW
1,SUP001,5,2025-12-01,13,12,1,2525,2513,12,92.31,99.52,0.48,1.67,93.34,LOW
1,SUP001,1,2025-12-01,16,15,1,1901,1874,8,93.75,98.58,0.43,1.19,94.51,LOW
1,SUP001,3,2026-01-01,7,6,1,2246,2213,7,85.71,98.53,0.32,1.02,91.76,LOW
1,SUP001,2,2026-01-01,6,6,0,2385,2356,5,100.0,98.78,0.21,0.0,99.27,LOW
1,SUP001,4,2026-01-01,6,6,0,4059,3979,39,100.0,98.03,0.98,0.0,97.55,LOW
1,SUP001,1,2026-01-01,10,10,0,2299,2277,24,100.0,99.04,1.05,0.0,97.65,LOW
1,SUP001,5,2026-01-01,13,12,1,2749,2703,25,92.31,98.33,0.92,0.85,93.38,LOW
1,SUP001,3,2026-02-01,7,7,0,3527,3451,22,100.0,97.85,0.64,0.0,98.19,LOW
1,SUP001,5,2026-02-01,11,10,1,4924,4788,17,90.91,97.24,0.36,1.07,93.36,LOW
1,SUP001,2,2026-02-01,17,16,1,2375,2309,5,94.12,97.22,0.22,1.0,95.02,LOW
1,SUP001,1,2026-02-01,18,17,1,762,758,5,94.44,99.48,0.66,0.6,95.43,LOW
1,SUP001,4,2026-02-01,12,11,1,4689,4565,50,91.67,97.36,1.1,0.79,92.63,LOW
1,SUP001,4,2026-03-01,6,6,0,513,506,5,100.0,98.64,0.99,0.0,97.68,LOW
1,SUP001,5,2026-03-01,8,8,0,1026,1008,5,100.0,98.25,0.5,0.0,98.57,LOW
1,SUP001,2,2026-03-01,14,13,1,4476,4370,15,92.86,97.63,0.34,1.9,93.01,LOW
1,SUP001,1,2026-03-01,20,20,0,3077,3004,21,100.0,97.63,0.7,0.0,98.01,LOW
1,SUP001,3,2026-03-01,14,13,1,4833,4689,48,92.86,97.02,1.02,0.95,92.93,LOW
1,SUP001,3,2026-04-01,16,15,1,1600,1565,17,93.75,97.81,1.09,1.61,92.37,LOW
1,SUP001,2,2026-04-01,15,14,1,2490,2474,25,93.33,99.36,1.01,0.79,93.97,LOW
1,SUP001,4,2026-04-01,16,15,1,2114,2074,6,93.75,98.11,0.29,1.5,94.2,LOW
1,SUP001,1,2026-04-01,20,19,1,4258,4149,14,95.0,97.44,0.34,1.62,94.26,LOW
1,SUP001,5,2026-04-01,13,12,1,2194,2183,13,92.31,99.5,0.6,1.65,93.13,LOW
1,SUP001,1,2026-05-01,14,13,1,4009,3997,24,92.86,99.7,0.6,0.83,94.62,LOW
1,SUP001,4,2026-05-01,11,11,0,1520,1507,8,100.0,99.14,0.53,0.0,98.72,LOW
1,SUP001,3,2026-05-01,8,7,1,2225,2206,9,87.5,99.15,0.41,1.45,91.8,LOW
1,SUP001,2,2026-05-01,7,7,0,3402,3343,22,100.0,98.27,0.66,0.0,98.25,LOW
1,SUP001,5,2026-05-01,17,16,1,3616,3559,41,94.12,98.42,1.15,0.95,93.52,LOW
1,SUP001,2,2026-06-01,17,16,1,1306,1269,12,94.12,97.17,0.95,1.7,92.5,LOW
1,SUP001,4,2026-06-01,10,10,0,3172,3115,15,100.0,98.2,0.48,0.0,98.59,LOW
1,SUP001,1,2026-06-01,8,8,0,1244,1235,13,100.0,99.28,1.05,0.0,97.71,LOW
1,SUP001,3,2026-06-01,10,10,0,2557,2550,27,100.0,99.73,1.06,0.0,97.81,LOW
1,SUP001,5,2026-06-01,12,12,0,3932,3878,36,100.0,98.63,0.93,0.0,97.8,LOW
1,SUP001,3,2026-07-01,7,7,0,2766,2687,14,100.0,97.14,0.52,0.0,98.24,LOW
1,SUP001,4,2026-07-01,8,7,1,3605,3570,39,87.5,99.03,1.09,1.42,90.44,LOW
1,SUP001,5,2026-07-01,18,17,1,2306,2271,11,94.44,98.48,0.48,1.23,94.58,LOW
1,SUP001,1,2026-07-01,8,8,0,3958,3910,23,100.0,98.79,0.59,0.0,98.52,LOW
1,SUP001,2,2026-07-01,7,7,0,2058,2029,7,100.0,98.59,0.34,0.0,98.96,LOW
1,SUP001,4,2026-08-01,10,9,1,503,492,2,90.0,97.81,0.41,1.68,92.12,LOW
1,SUP001,1,2026-08-01,15,15,0,4834,4725,36,100.0,97.75,0.76,0.0,97.91,LOW
1,SUP001,5,2026-08-01,12,11,1,3812,3780,39,91.67,99.16,1.03,1.88,91.57,LOW
1,SUP001,2,2026-08-01,8,7,1,2546,2536,7,87.5,99.61,0.28,1.71,91.78,LOW
1,SUP001,3,2026-08-01,8,8,0,2645,2578,17,100.0,97.47,0.66,0.0,98.05,LOW
2,SUP002,8,2025-01-01,17,14,3,2551,2401,20,82.35,94.12,0.83,3.19,85.02,LOW
2,SUP002,7,2025-01-01,15,13,2,4849,4641,93,86.67,95.71,2.0,2.88,85.27,LOW
2,SUP002,9,2025-01-01,8,7,1,803,760,15,87.5,94.65,1.97,2.33,86.22,LOW
2,SUP002,6,2025-01-01,15,13,2,3727,3614,54,86.67,96.97,1.49,1.71,88.36,LOW
2,SUP002,8,2025-02-01,19,17,2,669,662,10,89.47,98.95,1.51,2.17,89.25,LOW
2,SUP002,7,2025-02-01,11,10,1,2719,2598,22,90.91,95.55,0.85,3.3,88.61,LOW
2,SUP002,6,2025-02-01,12,10,2,4282,4064,36,83.33,94.91,0.89,2.32,86.81,LOW
2,SUP002,9,2025-02-01,7,6,1,4106,3880,72,85.71,94.5,1.86,1.54,86.89,LOW
2,SUP002,7,2025-03-01,11,9,2,4889,4828,74,81.82,98.75,1.53,1.98,86.38,LOW
2,SUP002,8,2025-03-01,6,5,1,1935,1864,28,83.33,96.33,1.5,3.79,83.73,MEDIUM
2,SUP002,6,2025-03-01,13,11,2,3605,3439,66,84.62,95.4,1.92,2.55,85.03,LOW
2,SUP002,9,2025-03-01,8,7,1,1764,1665,28,87.5,94.39,1.68,2.16,86.99,LOW
2,SUP002,6,2025-04-01,19,16,3,658,643,4,84.21,97.72,0.62,3.88,86.05,LOW
2,SUP002,9,2025-04-01,15,13,2,1157,1137,20,86.67,98.27,1.76,3.65,85.24,LOW
2,SUP002,7,2025-04-01,17,15,2,4797,4652,92,88.24,96.98,1.98,3.58,85.21,LOW
2,SUP002,8,2025-04-01,8,7,1,4070,3955,49,87.5,97.17,1.24,1.73,89.22,LOW
2,SUP002,9,2025-05-01,12,11,1,4497,4423,24,91.67,98.35,0.54,1.67,92.67,LOW
2,SUP002,7,2025-05-01,10,8,2,1969,1881,29,80.0,95.53,1.54,1.82,85.07,LOW
2,SUP002,6,2025-05-01,9,8,1,829,811,16,88.89,97.83,1.97,2.0,88.07,LOW
2,SUP002,8,2025-05-01,11,9,2,3130,3047,54,81.82,97.35,1.77,2.32,85.04,LOW
2,SUP002,9,2025-06-01,16,14,2,2854,2825,46,87.5,98.98,1.63,2.58,87.62,LOW
2,SUP002,8,2025-06-01,17,15,2,3780,3707,49,88.24,98.07,1.32,2.64,88.21,LOW
2,SUP002,6,2025-06-01,6,5,1,2454,2322,35,83.33,94.62,1.51,2.91,84.61,MEDIUM
2,SUP002,7,2025-06-01,6,6,0,2893,2820,19,100.0,97.48,0.67,0.0,98.02,LOW
2,SUP002,8,2025-07-01,11,9,2,1449,1432,16,81.82,98.83,1.12,2.79,86.01,LOW
2,SUP002,7,2025-07-01,19,17,2,1340,1318,18,89.47,98.36,1.37,2.67,88.64,LOW
2,SUP002,6,2025-07-01,9,8,1,2599,2543,19,88.89,97.85,0.75,3.02,88.99,LOW
2,SUP002,9,2025-07-01,7,6,1,1323,1273,20,85.71,96.22,1.57,3.76,84.56,MEDIUM
2,SUP002,6,2025-08-01,17,15,2,1841,1819,12,88.24,98.8,0.66,1.56,91.34,LOW
2,SUP002,8,2025-08-01,6,5,1,4944,4762,28,83.33,96.32,0.59,2.8,87.04,LOW
2,SUP002,9,2025-08-01,6,5,1,959,916,10,83.33,95.52,1.09,1.86,87.24,LOW
2,SUP002,7,2025-08-01,13,11,2,920,876,16,84.62,95.22,1.83,1.79,86.31,LOW
2,SUP002,9,2025-09-01,14,12,2,1975,1873,12,85.71,94.84,0.64,3.68,86.19,LOW
2,SUP002,7,2025-09-01,7,6,1,1106,1072,16,85.71,96.93,1.49,1.88,87.71,LOW
2,SUP002,8,2025-09-01,15,13,2,4121,4030,32,86.67,97.79,0.79,2.87,88.22,LOW
2,SUP002,6,2025-09-01,10,9,1,3574,3430,54,90.0,95.97,1.57,1.69,89.31,LOW
2,SUP002,6,2025-10-01,17,15,2,2489,2352,39,88.24,94.5,1.66,3.63,85.16,LOW
2,SUP002,9,2025-10-01,15,13,2,4576,4510,32,86.67,98.56,0.71,2.65,88.91,LOW
2,SUP002,7,2025-10-01,18,16,2,2989,2822,25,88.89,94.41,0.89,2.9,88.04,LOW
2,SUP002,8,2025-10-01,20,17,3,4470,4229,83,85.0,94.61,1.96,3.02,84.2,MEDIUM
2,SUP002,8,2025-11-01,9,8,1,3045,2946,39,88.89,96.75,1.32,1.73,89.5,LOW
2,SUP002,6,2025-11-01,15,14,1,836,800,9,93.33,95.69,1.12,2.43,90.36,LOW
2,SUP002,7,2025-11-01,12,11,1,2348,2298,25,91.67,97.87,1.09,3.77,88.3,LOW
2,SUP002,9,2025-11-01,10,9,1,576,567,7,90.0,98.44,1.23,2.22,89.81,LOW
2,SUP002,8,2025-12-01,19,17,2,4280,4226,62,89.47,98.74,1.47,1.88,89.72,LOW
2,SUP002,9,2025-12-01,14,12,2,4118,4066,81,85.71,98.74,1.99,2.25,86.61,LOW
2,SUP002,6,2025-12-01,14,12,2,603,592,10,85.71,98.18,1.69,1.76,87.81,LOW
2,SUP002,7,2025-12-01,10,9,1,4012,3833,55,90.0,95.54,1.43,3.02,87.48,LOW
2,SUP002,9,2026-01-01,12,11,1,4242,4167,33,91.67,98.23,0.79,2.46,90.95,LOW
2,SUP002,7,2026-01-01,17,14,3,2202,2139,19,82.35,97.14,0.89,1.7,87.9,LOW
2,SUP002,8,2026-01-01,20,18,2,4668,4553,51,90.0,97.54,1.12,2.71,89.08,LOW
2,SUP002,6,2026-01-01,11,10,1,4266,4161,48,90.91,97.54,1.15,3.33,88.45,LOW
2,SUP002,6,2026-02-01,16,14,2,4908,4804,58,87.5,97.88,1.21,3.56,86.72,LOW
2,SUP002,8,2026-02-01,13,11,2,1684,1615,30,84.62,95.9,1.86,2.77,84.95,MEDIUM
2,SUP002,7,2026-02-01,9,8,1,1114,1056,12,88.89,94.79,1.14,3.22,87.15,LOW
2,SUP002,9,2026-02-01,13,11,2,3624,3510,48,84.62,96.85,1.37,3.98,84.35,MEDIUM
2,SUP002,7,2026-03-01,13,11,2,2396,2287,21,84.62,95.45,0.92,3.65,85.4,LOW
2,SUP002,6,2026-03-01,15,13,2,2511,2465,16,86.67,98.17,0.65,3.7,87.36,LOW
2,SUP002,8,2026-03-01,20,17,3,1071,1022,17,85.0,95.42,1.66,2.54,85.72,LOW
2,SUP002,9,2026-03-01,10,8,2,3742,3569,48,80.0,95.38,1.34,3.21,83.34,MEDIUM
2,SUP002,9,2026-04-01,17,16,1,4569,4485,83,94.12,98.16,1.85,3.44,88.33,LOW
2,SUP002,8,2026-04-01,20,18,2,2688,2637,24,90.0,98.1,0.91,2.25,90.33,LOW
2,SUP002,7,2026-04-01,7,6,1,2667,2612,38,85.71,97.94,1.45,3.15,86.14,LOW
2,SUP002,6,2026-04-01,9,8,1,3604,3448,43,88.89,95.67,1.25,2.31,88.51,LOW
2,SUP002,6,2026-05-01,13,11,2,2616,2504,46,84.62,95.72,1.84,3.25,84.23,MEDIUM
2,SUP002,8,2026-05-01,15,13,2,4511,4435,52,86.67,98.32,1.17,2.71,87.84,LOW
2,SUP002,7,2026-05-01,20,17,3,1440,1393,20,85.0,96.74,1.44,3.77,84.66,MEDIUM
2,SUP002,9,2026-05-01,9,8,1,3386,3220,25,88.89,95.1,0.78,2.13,89.58,LOW
2,SUP002,9,2026-06-01,18,16,2,1620,1574,29,88.89,97.16,1.84,3.12,86.48,LOW
2,SUP002,7,2026-06-01,19,16,3,988,937,9,84.21,94.84,0.96,3.37,85.42,LOW
2,SUP002,8,2026-06-01,11,10,1,4951,4747,90,90.91,95.88,1.9,3.67,86.04,LOW
2,SUP002,6,2026-06-01,10,9,1,4732,4672,29,90.0,98.73,0.62,3.3,89.49,LOW
2,SUP002,7,2026-07-01,15,14,1,4097,3877,59,93.33,94.63,1.52,3.25,88.07,LOW
2,SUP002,8,2026-07-01,17,14,3,3637,3461,58,82.35,95.16,1.68,1.61,85.96,LOW
2,SUP002,6,2026-07-01,13,11,2,2468,2405,35,84.62,97.45,1.46,2.73,86.2,LOW
2,SUP002,9,2026-07-01,10,9,1,773,749,12,90.0,96.9,1.6,1.73,89.42,LOW
2,SUP002,6,2026-08-01,18,15,3,2910,2768,43,83.33,95.12,1.55,2.27,85.6,LOW
2,SUP002,8,2026-08-01,17,15,2,3623,3476,52,88.24,95.94,1.5,3.55,85.96,LOW
2,SUP002,7,2026-08-01,10,9,1,4545,4372,61,90.0,96.19,1.4,3.72,86.68,LOW
2,SUP002,9,2026-08-01,10,9,1,3903,3703,26,90.0,94.88,0.7,2.85,89.04,LOW
3,SUP003,14,2025-01-01,18,17,1,4921,4905,44,94.44,99.67,0.9,0.35,95.38,LOW
3,SUP003,10,2025-01-01,11,11,0,2732,2723,9,100.0,99.67,0.33,0.0,99.26,LOW
3,SUP003,13,2025-01-01,9,9,0,1752,1744,12,100.0,99.54,0.69,0.0,98.51,LOW
3,SUP003,12,2025-01-01,6,6,0,3031,3026,13,100.0,99.84,0.43,0.0,99.1,LOW
3,SUP003,11,2025-01-01,10,10,0,1400,1391,2,100.0,99.36,0.14,0.0,99.55,LOW
3,SUP003,14,2025-02-01,11,11,0,1573,1560,4,100.0,99.17,0.26,0.0,99.28,LOW
3,SUP003,11,2025-02-01,6,6,0,2449,2429,3,100.0,99.18,0.12,0.0,99.55,LOW
3,SUP003,13,2025-02-01,8,8,0,4547,4498,27,100.0,98.92,0.6,0.0,98.53,LOW
3,SUP003,12,2025-02-01,8,8,0,3783,3713,28,100.0,98.15,0.75,0.0,98.03,LOW
3,SUP003,10,2025-02-01,19,19,0,2917,2902,12,100.0,99.49,0.41,0.0,99.04,LOW
3,SUP003,11,2025-03-01,10,9,1,3948,3911,30,90.0,99.06,0.77,0.87,92.93,LOW
3,SUP003,12,2025-03-01,6,6,0,4845,4769,23,100.0,98.43,0.48,0.0,98.64,LOW
3,SUP003,10,2025-03-01,7,7,0,1116,1097,11,100.0,98.3,1.0,0.0,97.57,LOW
3,SUP003,14,2025-03-01,8,8,0,1856,1846,3,100.0,99.46,0.16,0.0,99.54,LOW
3,SUP003,13,2025-03-01,15,14,1,3147,3138,21,93.33,99.71,0.67,0.48,95.2,LOW
3,SUP003,11,2025-04-01,18,17,1,1393,1378,4,94.44,98.92,0.29,1.04,95.37,LOW
3,SUP003,13,2025-04-01,7,7,0,2980,2968,19,100.0,99.6,0.64,0.0,98.62,LOW
3,SUP003,10,2025-04-01,19,19,0,3755,3753,31,100.0,99.95,0.83,0.0,98.33,LOW
3,SUP003,12,2025-04-01,11,10,1,3052,3035,24,90.91,99.44,0.79,0.98,93.17,LOW
3,SUP003,14,2025-04-01,11,11,0,2445,2444,16,100.0,99.96,0.65,0.0,98.68,LOW
3,SUP003,13,2025-05-01,11,11,0,3042,3009,4,100.0,98.92,0.13,0.0,99.46,LOW
3,SUP003,10,2025-05-01,11,10,1,3732,3658,21,90.91,98.02,0.57,0.85,93.44,LOW
3,SUP003,14,2025-05-01,18,18,0,4177,4113,13,100.0,98.47,0.32,0.0,98.98,LOW
3,SUP003,11,2025-05-01,17,17,0,4771,4704,32,100.0,98.6,0.68,0.0,98.29,LOW
3,SUP003,12,2025-05-01,7,7,0,1774,1744,11,100.0,98.31,0.63,0.0,98.32,LOW
3,SUP003,11,2025-06-01,6,6,0,4423,4409,21,100.0,99.68,0.48,0.0,98.97,LOW
3,SUP003,10,2025-06-01,16,16,0,2647,2625,22,100.0,99.17,0.84,0.0,98.12,LOW
3,SUP003,12,2025-06-01,16,15,1,4129,4101,22,93.75,99.32,0.54,0.83,95.01,LOW
3,SUP003,14,2025-06-01,18,18,0,2089,2063,20,100.0,98.76,0.97,0.0,97.75,LOW
3,SUP003,13,2025-06-01,11,11,0,1128,1120,11,100.0,99.29,0.98,0.0,97.86,LOW
3,SUP003,11,2025-07-01,7,7,0,4133,4056,7,100.0,98.14,0.17,0.0,99.19,LOW
3,SUP003,13,2025-07-01,7,7,0,4653,4596,29,100.0,98.77,0.63,0.0,98.43,LOW
3,SUP003,10,2025-07-01,11,10,1,2415,2389,16,90.91,98.92,0.67,1.43,92.61,LOW
3,SUP003,12,2025-07-01,10,10,0,4697,4614,22,100.0,98.23,0.48,0.0,98.6,LOW
3,SUP003,14,2025-07-01,13,13,0,2808,2796,15,100.0,99.57,0.54,0.0,98.82,LOW
3,SUP003,10,2025-08-01,11,11,0,2313,2297,15,100.0,99.31,0.65,0.0,98.52,LOW
3,SUP003,14,2025-08-01,12,12,0,2135,2127,5,100.0,99.63,0.24,0.0,99.44,LOW
3,SUP003,12,2025-08-01,10,10,0,4486,4444,17,100.0,99.06,0.38,0.0,99.0,LOW
3,SUP003,11,2025-08-01,15,14,1,1533,1511,10,93.33,98.56,0.66,0.96,94.21,LOW
3,SUP003,13,2025-08-01,18,18,0,836,827,7,100.0,98.92,0.85,0.0,98.04,LOW
3,SUP003,12,2025-09-01,9,9,0,948,929,3,100.0,98.0,0.32,0.0,98.85,LOW
3,SUP003,11,2025-09-01,11,11,0,4846,4778,27,100.0,98.6,0.57,0.0,98.52,LOW
3,SUP003,13,2025-09-01,16,15,1,4396,4352,42,93.75,99.0,0.97,0.84,94.06,LOW
3,SUP003,14,2025-09-01,10,9,1,4436,4425,27,90.0,99.75,0.61,0.42,94.09,LOW
3,SUP003,10,2025-09-01,13,13,0,2975,2954,6,100.0,99.29,0.2,0.0,99.42,LOW
3,SUP003,12,2025-10-01,9,9,0,2593,2556,5,100.0,98.57,0.2,0.0,99.25,LOW
3,SUP003,10,2025-10-01,6,6,0,2993,2993,6,100.0,100.0,0.2,0.0,99.6,LOW
3,SUP003,14,2025-10-01,19,18,1,1521,1499,12,94.74,98.55,0.8,0.63,94.99,LOW
3,SUP003,13,2025-10-01,18,18,0,3313,3312,6,100.0,99.97,0.18,0.0,99.63,LOW
3,SUP003,11,2025-10-01,12,11,1,1437,1433,10,91.67,99.72,0.7,1.22,93.37,LOW
3,SUP003,12,2025-11-01,13,13,0,1939,1905,11,100.0,98.25,0.58,0.0,98.41,LOW
3,SUP003,10,2025-11-01,9,9,0,1611,1591,7,100.0,98.76,0.44,0.0,98.81,LOW
3,SUP003,11,2025-11-01,17,17,0,4023,3979,12,100.0,98.91,0.3,0.0,99.12,LOW
3,SUP003,13,2025-11-01,16,15,1,2529,2514,25,93.75,99.41,0.99,0.93,93.97,LOW
3,SUP003,14,2025-11-01,20,19,1,4083,4009,37,95.0,98.19,0.92,1.28,93.78,LOW
3,SUP003,13,2025-12-01,15,14,1,3554,3548,16,93.33,99.83,0.45,1.23,94.54,LOW
3,SUP003,12,2025-12-01,9,9,0,3401,3338,29,100.0,98.15,0.87,0.0,97.8,LOW
3,SUP003,11,2025-12-01,11,11,0,3766,3722,7,100.0,98.83,0.19,0.0,99.33,LOW
3,SUP003,14,2025-12-01,20,19,1,718,710,3,95.0,98.89,0.42,0.75,95.75,LOW
3,SUP003,10,2025-12-01,17,17,0,4925,4868,37,100.0,98.84,0.76,0.0,98.19,LOW
3,SUP003,12,2026-01-01,6,6,0,4266,4259,37,100.0,99.84,0.87,0.0,98.22,LOW
3,SUP003,11,2026-01-01,12,11,1,2588,2556,6,91.67,98.76,0.23,1.41,93.77,LOW
3,SUP003,13,2026-01-01,16,16,0,3241,3180,6,100.0,98.12,0.19,0.0,99.15,LOW
3,SUP003,10,2026-01-01,8,8,0,1311,1307,9,100.0,99.69,0.69,0.0,98.55,LOW
3,SUP003,14,2026-01-01,12,12,0,3571,3516,14,100.0,98.46,0.4,0.0,98.82,LOW
3,SUP003,12,2026-02-01,15,14,1,3813,3791,18,93.33,99.42,0.47,0.44,95.58,LOW
3,SUP003,14,2026-02-01,7,7,0,3246,3232,7,100.0,99.57,0.22,0.0,99.46,LOW
3,SUP003,11,2026-02-01,7,7,0,1199,1177,2,100.0,98.17,0.17,0.0,99.2,LOW
3,SUP003,10,2026-02-01,10,9,1,3535,3480,17,90.0,98.44,0.49,0.58,93.76,LOW
3,SUP003,13,2026-02-01,16,15,1,2564,2550,18,93.75,99.45,0.71,1.39,93.87,LOW
3,SUP003,13,2026-03-01,19,18,1,1167,1157,3,94.74,99.14,0.26,0.72,96.08,LOW
3,SUP003,14,2026-03-01,10,10,0,4370,4343,10,100.0,99.38,0.23,0.0,99.39,LOW
3,SUP003,11,2026-03-01,17,16,1,1565,1551,10,94.12,99.11,0.64,0.97,94.68,LOW
3,SUP003,10,2026-03-01,11,10,1,3509,3477,34,90.91,99.09,0.98,0.73,93.08,LOW
3,SUP003,12,2026-03-01,6,6,0,1907,1899,12,100.0,99.58,0.63,0.0,98.63,LOW
